,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
338,31/12/2011,2011,14379,6412,7967,2861,4149,745,2861,869,67,802,1069,NA,45614,11760,33854,1814,17394,102,570,5430,6962,1780,1928,1250,1780,1348,2983,-3321,378,NA,NA,NA,NA,1408,NA,NA,D US EQUITY
339,31/12/2012,2012,13093,5312,7781,1156,2599,146,1156,882,61,821,1186,NA,46838,10882,35956,2412,16851,248,576,5140,7763,1621,1773,1137,1621,1259,4137,-3840,-151,NA,NA,NA,NA,302,NA,NA,D US EQUITY
340,31/12/2013,2013,13120,5574,7546,3316,4706,892,3316,877,54,823,1208,NA,50096,11899,38197,1927,19330,316,581,5940,6994,1695,1777,1168,1695,1176,3433,-3458,93,NA,NA,NA,NA,1697,NA,NA,D US EQUITY
341,31/12/2014,2014,12436,5116,7320,2721,4281,452,2721,1193,68,1125,1292,NA,54327,11957,42370,2775,21805,318,585,5615,7198,1514,1518,952,1514,1410,3439,-5181,1744,NA,NA,NA,NA,1310,NA,NA,D US EQUITY
342,31/12/2015,2015,11683,3606,8077,3536,5205,905,3536,904,58,846,1395,NA,58648,13602,45046,3509,23468,607,596,4189,8119,1200,1241,726,1200,1348,4475,-6503,2317,NA,NA,NA,NA,1899,NA,NA,D US EQUITY
343,31/12/2016,2016,11737,2891,8846,3627,5476,655,3627,1010,66,944,1559,NA,71610,16840,54770,3155,30231,261,628,4248,8115,1523,1798,1000,1523,1524,4127,-10703,6230,NA,NA,NA,NA,2123,NA,NA,D US EQUITY
344,31/12/2017,2017,12586,3008,9578,3937,6139,-30,3937,1205,82,1123,1905,NA,76585,19370,57215,3298,30948,120,645,4334,9636,1660,1723,875,1660,1477,4502,-5942,1303,NA,NA,NA,NA,2999,NA,NA,D US EQUITY
345,31/12/2018,2018,13366,3581,9785,3601,5881,580,3601,1493,84,1409,2000,NA,77914,22048,55866,407,31144,268,681,5161,7647,1749,1750,914,1749,1418,4773,-2358,-2209,NA,NA,NA,NA,2447,NA,NA,D US EQUITY
346,31/12/2004,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAL US EQUITY
347,31/12/2005,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAL US EQUITY
348,31/12/2006,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAL US EQUITY
349,31/12/2007,2007,19154,NA,NA,1096,2260,207,1096,652,128,524,NA,NA,32423,10113,22310,NA,7986,2786,292.2171,5240,6605,1066,1045,1045,1066,262,1359,-625,-120,NA,NA,NA,NA,1612,NA,7527,DAL US EQUITY
350,31/12/2008,2008,22697,NA,NA,113,1379,-119,113,705,92,613,NA,NA,45084,874,44210,NA,15411,4467,698.4648,8974,11092,1513,1604,1604,1513,388,-1707,1598,1716,NA,NA,NA,NA,-8922,NA,14938,DAL US EQUITY
351,31/12/2009,2009,28063,NA,NA,-324,1212,-344,-324,1278,27,1251,NA,NA,43789,245,43544,0,15665,4678,783.9548,7991,9797,1353,3437,1249,1353,327,1379,-1008,-19,NA,NA,NA,NA,-1237,0,15220,DAL US EQUITY
352,31/12/2010,2010,31755,NA,NA,2217,3728,15,2217,1004,35,969,NA,NA,43188,897,42291,NA,13179,3610,834.7236,7307,11385,1456,4202,1713,1456,318,2832,-2026,-2521,NA,NA,NA,NA,593,0,12553,DAL US EQUITY
353,31/12/2011,2011,35115,NA,NA,1975,3498,-85,1975,NA,NA,901,1400,NA,43499,-1396,44895,NA,11847,3615,845.2459,7729,12701,1563,4525,1600,1563,535,2834,-1498,-1571,NA,NA,NA,NA,854,0,11233,DAL US EQUITY
354,31/12/2012,2012,36670,NA,NA,2175,3740,16,2175,NA,NA,812,1400,NA,44550,-2131,46681,NA,11082,3374,851.402,8272,13270,1693,5399,2293,1693,1023,2476,-1962,-755,NA,NA,NA,NA,1009,0,11082,DAL US EQUITY
355,31/12/2013,2013,37773,NA,NA,3400,5058,-8013,3400,NA,NA,698,1400,NA,52252,11643,40609,NA,9795,3803,851.4431,9651,14152,1609,5874,2300,1609,1063,4504,-2756,-1320,NA,NA,NA,NA,10540,0,9396,DAL US EQUITY
356,31/12/2014,2014,40362,NA,NA,2206,3977,413,2206,650,0,650,1700,NA,54005,8813,45192,NA,8477,3305,825.2582,9158,16847,2297,7015,2622,2297,852,4947,-2463,-3240,NA,NA,NA,NA,659,0,8186,DAL US EQUITY
357,31/12/2015,2015,40704,NA,NA,7802,9637,2631,7802,481,0,481,1800,NA,53134,10850,42284,0,6766,3437,778.784,9056,17526,2020,7244,2743,2020,697,7927,-3955,-4088,NA,NA,NA,NA,4526,0,6531,DAL US EQUITY
358,31/12/2016,2016,39450,NA,NA,6996,10182,2158,6996,388,0,388,1886,NA,51261,12287,38974,0,6201,3249,730.7377,7451,15239,2064,7403,2572,2064,891,7215,-2155,-4260,NA,NA,NA,NA,4195,0,5999,DAL US EQUITY
359,31/12/2017,2017,41138,NA,NA,5966,8188,2295,5966,396,0,396,2205,NA,53671,12530,41141,0,6592,2639,707.198,7804,18959,2377,8524,3634,2377,1329,5023,-5266,-730,NA,NA,NA,NA,3205,0,6295,DAL US EQUITY
360,31/12/2018,2018,44438,NA,NA,5264,8587,1216,5264,311,0,311,2312,NA,60266,13687,46579,0,14054,1768,679.9445,6340,18578,2314,7358,2976,2314,1055,7014,-4393,-1726,NA,NA,NA,NA,3935,0,7959,DAL US EQUITY
361,31/12/2004,2004,6889.301,3996.636,2892.665,1096.992,1253.12,311.717,1096.992,54.984,7.568,47.416,156.128,NA,8493.893,4619.682,3874.211,NA,925.535,609.115,308.92,2918.69,2202.286,1231.065,612.066,612.066,1231.065,703.996,1033.216,-1633.631,-20.626,NA,NA,NA,NA,746,NA,NA,DHR US EQUITY
362,31/12/2005,2005,7984.704,4539.689,3445.015,1269.264,1446.236,336.642,1269.264,44.933,14.707,30.226,140.974,NA,9163.109,5080.35,4082.759,NA,857.771,315.551,305.571,2945.019,2268.586,1407.858,782.854,782.854,1407.858,825.263,1203.801,-965.406,-531.959,NA,NA,NA,NA,897.8,181.351,843.571,DHR US EQUITY
363,31/12/2006,2006,9466.056,5268.996,4197.06,1483.831,1699.528,319.637,1483.831,79.375,8.008,71.367,151.524,NA,12864.151,6644.66,6219.491,NA,2422.861,317.81,308.242,3436.739,2459.714,1654.725,932.87,932.87,1654.725,988.709,1547.251,-2769.37,1224.378,NA,NA,NA,NA,1122.029,NA,NA,DHR US EQUITY
364,31/12/2007,2007,11025.917,5985.022,5040.895,1726.374,1994.866,423.101,1726.374,109.702,6.092,103.61,173.942,NA,17471.935,9085.688,8386.247,NA,3395.764,239.108,317.984,4049.767,2899.853,1984.384,1125.6,1125.6,1984.384,1193.615,1645.775,-3445.759,1721.282,NA,NA,NA,NA,1369.904,NA,NA,DHR US EQUITY
365,31/12/2008,2008,12697.456,6757.262,5940.194,1869.477,2208.764,431.676,1869.477,130.174,10.004,120.17,193.997,NA,17490.128,9808.562,7681.566,NA,2553.17,392.854,318.38,4187.119,2745.097,1894.585,1108.961,1108.961,1894.585,1142.309,1859.029,-567.399,-1137.884,NA,NA,NA,NA,1317.631,NA,NA,DHR US EQUITY
366,31/12/2009,2009,11184.938,5904.718,5280.22,1542.476,1884.063,273.15,1542.476,122.656,5.034,117.622,184.524,NA,19595.42,11630.176,7965.244,44.186,2889.023,1721.92,645.47,5220.628,2760.96,1916.831,2716.774,1051.487,1916.831,993.016,1800.834,-942.941,471.173,NA,NA,NA,NA,1151.704,44.186,2889.023,DHR US EQUITY
367,31/12/2010,2010,13202.602,6575.812,6626.79,2166.374,2554.636,549.705,2166.374,120.775,6.069,114.706,197.998,NA,22217.13,13772.766,8444.364,40.761,2783.907,1632.98,656.36,6065.455,3320.702,2097.974,3279.941,1124.821,2097.974,1165.623,2084.351,-2288.879,115.588,NA,NA,NA,NA,1793,40.761,2783.907,DHR US EQUITY
368,31/12/2011,2011,16090.54,7913.876,8176.664,2617.226,3252.16,512.562,2617.226,141.637,5.147,136.49,350.66,NA,29949.447,16971.768,12977.679,98.392,5206.8,537.001,687.73,6272.357,4172.028,3049.895,4073.636,1422.438,3049.895,1781.352,2626.267,-5847.254,2125.008,NA,NA,NA,NA,2172.264,98.392,5206.8,DHR US EQUITY
369,31/12/2012,2012,18260.4,8846.1,9414.3,3165.1,4004.9,711.5,3165.1,157.5,3.2,154.3,497.8,NA,32941,19083.9,13857.1,46,5287.6,1678.7,687.5,7587.8,4206.1,3267.3,4150.6,1546.3,3267.3,1813.4,3415,-1887.6,-385.7,NA,NA,NA,NA,2392.2,46,5246.8,DHR US EQUITY
370,31/12/2013,2013,19118,9160.4,9957.6,3274.9,4169.9,871,3274.9,145.9,5.7,140.2,529.9,NA,34672.2,22451.4,12220.8,0,3436.7,3115.2,698.1,9113.7,4527.4,3451.6,4465.1,1778.2,3451.6,1783.5,3585.3,-552.5,-1596.3,NA,NA,NA,NA,2695,0,3381.5,DHR US EQUITY
371,31/12/2014,2014,12866.9,6017.4,6849.5,2045,2763.1,447.5,2045,94.7,13.3,81.4,448.9,NA,36991.7,23449.8,13541.9,0,3401.5,3005.6,704.3,9431.3,5396.4,3445.8,5016.5,1825,3445.8,1782.8,3758.4,-3444.3,-423.7,NA,NA,NA,NA,2598.4,0,3373.2,DHR US EQUITY
372,31/12/2015,2015,14433.7,6662.6,7771.1,2162.2,3043,292.7,2162.2,139.8,4.6,135.2,484,NA,48222.2,23764,24458.2,0,12025.2,790.8,686.8,7836.7,6170.4,2985.1,4001.3,1391.9,2985.1,1573.1,3801.8,-14951,8934.4,NA,NA,NA,NA,3357.4,0,12002.1,DHR US EQUITY
373,31/12/2016,2016,16882.4,7547.8,9334.6,2735.2,3863.3,457.9,2735.2,184.4,0.2,184.2,545,NA,45295.3,23076.8,22218.5,0,9674.2,963.7,692.2,6665.1,6874,3186.1,4279.2,1485,3186.1,1709.4,3521.8,-5243,1894.1,NA,NA,NA,NA,2553.7,0,9659,DHR US EQUITY
374,31/12/2017,2017,18329.7,8137.2,10192.5,2990.4,4228.7,469,2990.4,162.7,7.5,155.2,577.8,NA,46648.6,26367.8,20280.8,0,10327.4,630.3,696.6,6850,4792.3,3521.8,1509.9,1509.9,3521.8,1840.8,3477.8,-843.4,-2967.8,NA,NA,NA,NA,2492.1,0,10313.7,DHR US EQUITY
375,31/12/2018,2018,19893,8785.9,11107.1,3403.8,4711.5,641.9,3403.8,157.4,9.2,148.2,601.5,NA,47832.5,28226.7,19605.8,0,9688.5,787.8,701.5,7093.8,4841.5,3489.6,1712.8,1712.8,3489.6,1910.1,4022,-2949.4,-915.1,NA,NA,NA,NA,2650.9,0,9675.8,DHR US EQUITY
376,31/12/2004,2004,1567.015,535.949,1031.066,347.882,441.738,118.225,347.882,32.851,1.37,31.481,27.33,NA,1499.079,-178.491,1677.57,NA,953.848,15.492,50.2657,240.386,571.198,110.529,72.984,72.984,110.529,38.89,312.243,-670.837,371.118,NA,NA,NA,NA,197.991,290.359,953.848,DLX US EQUITY
377,31/12/2005,2005,1716.2939,608.361,1107.9329,304.839,413.187,92.771,304.839,56.604,1.295,55.309,28.993,NA,1425.875,-82.026,1507.901,NA,902.805,6.867,50.735,213.938,491.085,105.238,88.178,88.178,105.238,41.028,174.127,-40.138,-142.614,NA,NA,NA,NA,157.521,262.346,898.026,DLX US EQUITY
378,31/12/2006,2006,1639.6541,613.279,1026.3751,238.415,359.861,41.983,238.415,56.661,NA,56.661,25.483,NA,1267.132,-65.673,1332.805,NA,576.59,11.599,51.519,202.117,664.503,103.014,78.489,78.489,103.014,42.854,239.364,-30.203,-204.429,NA,NA,NA,NA,100.954,439.191,576.59,DLX US EQUITY
379,31/12/2007,2007,1588.885,574.972,1013.913,270.464,366.213,74.898,270.464,55.294,NA,55.294,21.786,NA,1210.755,41.107,1169.648,NA,775.086,21.615,51.887,191.945,297.588,85.687,78.871,78.871,85.687,32.279,244.674,-10.929,-223.729,NA,NA,NA,NA,143.515,67.2,773.646,DLX US EQUITY
380,31/12/2008,2008,1468.662,551.646,917.016,246.025,336.603,54.304,246.025,50.421,NA,50.421,21.881,NA,1218.985,53.066,1165.919,NA,773.896,15.59,51.131,167.086,283.637,68.572,61.598,61.598,68.572,25.791,199.482,-135.773,-69.734,NA,NA,NA,NA,101.634,77.937,773.896,DLX US EQUITY
381,31/12/2009,2009,1344.195,500.224,843.971,190.589,282.904,55.656,190.589,46.28,0,46.28,22.463,NA,1211.21,117.21,1094,0,742.753,12.789,51.189,159.499,243.048,65.564,217.048,60.64,65.564,22.122,206.438,-81.788,-127.451,NA,NA,NA,NA,99.365,0,742.753,DLX US EQUITY
382,31/12/2010,2010,1402.237,486.063,916.174,281.544,375.204,82.554,281.544,44.165,NA,NA,20.946,NA,1308.691,226.198,1082.493,0,748.122,17.383,51.338,171.237,211.512,66.471,204.512,60.478,66.471,21.66,212.615,-136.17,-71.851,NA,NA,NA,NA,152.624,0,748.122,DLX US EQUITY
383,31/12/2011,2011,1417.596,493.402,924.194,271.058,361.06,71.489,271.058,47.797,0,47.797,21.547,NA,1388.809,302.689,1086.12,0,656.131,28.687,50.826,192.575,300.367,69.023,214.792,64.694,69.023,22.043,235.367,-131.785,-92.278,NA,NA,NA,NA,144.595,0,656.131,DLX US EQUITY
384,31/12/2012,2012,1514.917,524.375,990.542,302.028,384.79,80.261,302.028,46.847,0,46.847,19.922,NA,1412.44,432.935,979.505,0,652.581,45.435,50.614,219.743,220.11,70.387,220.11,65.107,70.387,23.291,244.077,-68.513,-158.816,NA,NA,NA,NA,170.492,0,652.581,DLX US EQUITY
385,31/12/2013,2013,1584.824,561.116,1023.708,317.914,399.584,94.407,317.914,38.301,0,38.301,17.822,NA,1569.529,550.457,1019.072,0,385.115,121.089,50.344,319.313,490.071,88.049,234.482,71.492,88.049,28.966,261.502,-101.05,-84.798,NA,NA,NA,NA,186.652,0,383.761,DLX US EQUITY
386,31/12/2014,2014,1674.082,606.278,1067.804,332.633,416.58,97.387,332.633,36.529,0,36.529,16.767,NA,1688.391,647.497,1040.894,160,393.401,61.541,49.742,318.89,467.248,113.656,306.337,87.216,113.656,39.411,280.395,-136.043,-203.9,NA,NA,NA,NA,199.794,160,391.933,DLX US EQUITY
387,31/12/2015,2015,1772.817,639.209,1133.608,354.331,449.772,109.318,354.331,20.299,0,20.299,16,NA,1842.153,745.069,1097.084,NA,627.973,62.427,49.019,323.985,317.043,123.654,315.998,87.575,123.654,41.956,309.631,-251.14,-57.605,NA,NA,NA,NA,218.629,0,626.909,DLX US EQUITY
388,31/12/2016,2016,1849.062,667.241,1181.821,368.727,480.495,111.004,368.727,22.302,0,22.302,14.498,NA,2184.338,880.97,1303.368,NA,722.806,76.574,48.546,398.23,415.684,152.649,379.842,106.793,152.649,40.182,319.312,-310.786,5.621,NA,NA,NA,NA,229.382,0,722.01,DLX US EQUITY
389,31/12/2017,2017,1965.556,742.707,1222.849,329.176,471.797,82.672,329.176,21.359,0,21.359,15.868,NA,2208.827,1015.013,1193.814,NA,665.26,59.24,47.953,392.966,425.77,149.844,381.73,104.477,149.844,42.249,338.431,-180.891,-177.586,NA,NA,NA,NA,230.155,0,664.154,DLX US EQUITY
390,31/12/2018,2018,1998.025,791.748,1206.277,231.221,385.262,63.001,231.221,27.112,0,27.112,16.572,NA,2305.096,915.413,1389.683,NA,911.073,59.74,44.647,450.046,392.05,173.862,391.259,106.978,173.862,46.441,339.315,-275.414,-47.461,NA,NA,NA,NA,149.63,0,910,DLX US EQUITY
391,31/12/2004,2004,5217.109,3423.426,1793.683,588.336,743.325,134.457,588.336,61.315,NA,61.315,126.1,NA,5762.847,3118.682,2644.165,NA,753.063,329.055,203.4967,2030.829,1294.185,864.426,324.84,324.84,864.426,736.15,598.034,-527.072,-85.9,NA,NA,NA,NA,412.755,NA,NA,DOV US EQUITY
392,31/12/2005,2005,5333.338,3454.634,1878.704,667.243,822.29,161.138,667.243,72.231,NA,72.231,113.1,NA,6580.492,3329.523,3250.969,NA,1344.173,185.832,202.8501,1705.778,1106.692,850.084,329.362,329.362,850.084,573.265,718.606,-914.953,257.37,NA,NA,NA,NA,510.142,NA,NA,DOV US EQUITY
393,31/12/2006,2006,6329.279,4020.702,2308.577,897.923,1093.556,217.038,897.923,76.984,NA,76.984,126.8,NA,7626.658,3811.022,3815.636,NA,1480.491,373.616,204.7039,2271.506,1433.98,1056.828,410.001,410.001,1056.828,709.647,904.331,-842.6,229.741,NA,NA,NA,NA,561.782,NA,NA,DOV US EQUITY
394,31/12/2007,2007,7317.27,4697.768,2619.502,1005.497,1249.273,242.617,1005.497,89.589,NA,89.589,151.7,NA,8068.407,3946.173,4122.234,NA,1452.003,606.105,191.9265,2544.631,1678.741,1104.09,416.215,416.215,1104.09,673.944,891.554,-336.353,-342.144,NA,NA,NA,NA,661.08,NA,NA,DOV US EQUITY
395,31/12/2008,2008,7568.888,4838.881,2730.007,1029.33,1290.484,251.261,1029.33,96.037,NA,96.037,159.3,NA,7883.238,3792.866,4090.372,NA,1860.729,826.869,186.0138,2630.119,1253.514,1013.174,373.436,373.436,1013.174,636.121,1002.824,-454.799,-606.721,NA,NA,NA,NA,590.831,NA,NA,DOV US EQUITY
396,31/12/2009,2009,5775.689,3676.535,2099.154,588.043,846.266,119.724,588.043,NA,NA,100.375,159.6,NA,7882.403,4083.608,3798.795,0,1825.26,938.174,187.2321,2522.707,969.176,878.754,933.552,357.004,878.754,570.858,802.06,-257.865,-377.239,NA,NA,NA,NA,356.438,0,1825.26,DOV US EQUITY
397,31/12/2010,2010,6109.507,3686.861,2422.646,923.049,1152.286,193.625,923.049,115.324,8.953,106.371,NA,NA,8562.894,4526.562,4036.332,15,1790.886,1309.095,186.5451,3261.871,1194.386,1087.704,1177.461,469.038,1087.704,714.11,942.892,-178.753,-294.966,NA,NA,NA,NA,700.104,15,1790.886,DOV US EQUITY
398,31/12/2011,2011,7369.154,4524.351,2844.803,1123.849,1414.326,237.076,1123.849,124.783,9.258,115.525,168.024,NA,9500.552,4930.555,4569.997,0,2186.23,1206.755,183.5911,3248.178,1140.004,1118.848,1137.698,515.847,1118.848,733.807,1079.502,-1025.757,-34.351,NA,NA,NA,NA,895.243,0,2186.23,DOV US EQUITY
399,31/12/2012,2012,8104.339,4997.274,3107.065,1265.377,1622.962,304.452,1265.377,125.995,4.854,121.141,201.816,NA,10443.943,4919.23,5524.713,607.5,2189.35,800.076,174.7179,3027.844,1986.628,1225.898,1375.063,651.358,1225.898,872.841,1273.173,-1353.022,-326.83,NA,NA,NA,NA,811.07,607.5,2189.35,DOV US EQUITY
400,31/12/2013,2013,7155.096,4376.505,2778.591,1161.67,1439.703,248.459,1161.67,124.535,3.881,120.654,144.087,NA,10855.181,5377.396,5477.785,226.5,2599.201,803.882,169.9069,2717.972,1342.248,1076.641,1112.802,522.713,1076.641,715.311,1152.567,-468.868,-679.893,NA,NA,NA,NA,1003.129,226.5,2599.201,DOV US EQUITY
401,31/12/2014,2014,7752.728,4778.479,2974.249,1215.484,1522.672,316.067,1215.484,131.689,4.51,127.179,152.079,NA,9030.291,3700.725,5329.566,478,2253.041,681.581,163.2323,2833.969,2038.849,1186.746,1260.083,615.332,1186.746,863.737,975.924,-802.31,-295.915,NA,NA,NA,NA,775.235,478,2253.041,DOV US EQUITY
402,31/12/2015,2015,6956.311,4388.167,2568.144,920.762,1247.851,204.729,920.762,131.676,4.419,127.257,167.516,NA,8606.076,3644.575,4961.501,151,2603.655,362.185,155.0038,2419.01,1367.182,1120.49,1215.608,650.88,1120.49,802.895,835.113,-36.562,-1233.877,NA,NA,NA,NA,869.829,151,2603.655,DOV US EQUITY
403,31/12/2016,2016,6794.342,4322.373,2471.969,714.446,1075.185,180.44,714.446,136.401,6.759,129.642,175.495,NA,10115.991,3799.746,6316.245,407.6,3206.637,349.146,155.4283,2589.191,1940.318,1265.201,1525.063,830.318,1265.201,870.487,861.975,-1503.843,628.829,NA,NA,NA,NA,508.892,407.6,3206.637,DOV US EQUITY
404,31/12/2017,2017,6820.886,4291.839,2529.047,806.886,1090.164,129.152,806.886,144.948,8.491,136.457,133.107,NA,10658.359,4383.18,6275.179,227.246,2986.702,753.964,154.8234,2790.147,2141.978,1183.514,1558.633,882.007,1183.514,677.043,835.634,161.851,-592.667,NA,NA,NA,NA,811.665,227.246,2974.879,DOV US EQUITY
405,31/12/2018,2018,6992.118,4432.562,2559.556,843.112,1125.692,134.233,843.112,130.972,8.881,122.091,138.712,NA,8365.771,2768.666,5597.105,218.516,2943.66,396.221,144.9165,2503.754,1827.421,1231.859,1605.938,969.531,1231.859,748.796,798.635,-269.185,-887.193,NA,NA,NA,NA,570.267,218.516,2934.079,DOV US EQUITY
406,31/12/2004,2004,4972.6777,3109.7889,1862.8888,1219.5685,NA,307.0679,1219.5685,NA,27.6321,NA,NA,NA,11701.81,4184.9,7516.91,NA,56.25,597.05,NA,1596.11,1458.97,272.74,547.68,547.68,NA,238.73,NA,NA,NA,NA,NA,NA,NA,804.1755,NA,NA,EC US EQUITY
407,31/12/2005,2005,6684.1459,4197.1188,2487.0271,1938.2485,2535.5912,NA,1938.2485,215.4857,268.2034,NA,349.3159,NA,14285.7592,5810.2238,8475.5354,NA,NA,1114.0304,NA,2337.5434,1530.681,419.6446,295.9537,295.9537,NA,332.2344,1687.6262,-753.9004,-103.3897,NA,NA,NA,NA,1401.9671,NA,NA,EC US EQUITY
408,31/12/2006,2006,7806.6496,5072.4106,2734.239,2018.879,2574.3947,636.6609,2018.879,5.5407,290.1227,NA,338.6216,NA,18811.483,9301.6728,9509.8103,NA,NA,1602.4835,NA,3252.7808,1777.8696,596.571,340.0536,340.0536,NA,444.804,2244.7005,-1803.4643,75.3715,NA,NA,NA,NA,1439.658,NA,NA,EC US EQUITY
409,31/12/2007,2007,10790.1673,5826.243,4963.9243,4245.2409,4614.7984,911.011,4245.2409,0.5518,77.8498,NA,369.5575,NA,23841.4668,13284.672,10556.7948,NA,0,4808.9202,NA,7816.7106,3005.8394,1124.8285,568.0357,568.0357,NA,643.6036,4544.0632,-3926.0823,407.3037,NA,NA,NA,NA,2502.6877,NA,NA,EC US EQUITY
410,31/12/2008,2008,17410.337,9771.1117,7639.2253,5912.0713,6758.5788,2250.7162,5912.0713,9.9521,350.5739,NA,348.8018,NA,21650.3276,15497.9631,6152.3645,NA,0,2606.6779,NA,6981.507,2978.3383,2612.7059,759.5675,759.5675,NA,716.2907,6057.1841,-5080.0574,-1817.4742,NA,NA,NA,NA,5973.3479,NA,NA,EC US EQUITY
411,31/12/2009,2009,14238.5851,9322.151,4916.4341,3687.1388,5309.5384,990.0143,3687.1388,65.0015,224.644,-159.6425,591.3044,239.4832,27195.0646,16402.9701,10792.0945,213.9408,2797.0406,1969.837,NA,5931.3696,3656.4919,1453.3138,2605.5296,591.1522,1453.3138,999.8517,4404.7245,-2789.1965,-937.2717,NA,NA,NA,NA,2403.3762,213.9408,2797.0406,EC US EQUITY
412,31/12/2010,2010,22139.4687,13694.1058,8445.3629,6793.9527,9067.8557,1708.4793,6793.9527,76.9716,82.4717,-5.5,817.0341,98.7939,35840.7067,21792.3815,14048.3252,562.4334,4082.7179,2113.1252,NA,6582.2218,5233.9169,1426.2369,4071.459,2117.317,1426.2369,1142.4563,7573.6236,-6704.3241,-782.4373,NA,NA,NA,NA,4297.4934,562.4334,4082.7179,EC US EQUITY
413,31/12/2011,2011,35734.7385,19882.9489,15851.7896,14015.4467,16970.4747,4309.6305,14015.4467,224.9266,104.5956,120.331,993.766,110.0858,47602.4689,29373.9933,18228.4756,428.9884,4111.415,4187.5362,NA,9821.0034,8126.096,2391.8164,6822.6206,2415.8617,2391.8164,1424.6092,12457.1497,-9313.6596,-1489.587,NA,NA,NA,NA,8370.5612,428.9884,4111.415,EC US EQUITY
414,31/12/2012,2012,38316.7578,22558.3745,15758.3834,12990.5358,16034,3969.7984,12990.5358,323.664,213.5854,110.0786,1069.5285,195.476,64442.1433,38108.0649,26334.0784,1335.1864,6420.662,5269.6128,NA,12949.3804,13159.0094,2977.3767,10775.2541,6171.1305,2977.3767,1588.0181,11827.3675,-9241.6943,-1939.7037,NA,NA,NA,NA,8224.6168,1335.1864,6420.662,EC US EQUITY
415,31/12/2013,2013,37707.9572,22783.8183,14924.1389,11690.4457,14644.8637,4330.813,11690.4457,317.3046,246.9844,70.3202,1061.5527,282.6612,68865.3115,39361.909,29503.4025,402.7868,11140.9215,5577.053,NA,15245.7587,11562.9314,3212.1118,9257.1196,2839.1846,3212.1118,1885.5455,9434.4118,-5225.9508,-3726.1951,NA,NA,NA,NA,7017.3005,402.7868,11140.9215,EC US EQUITY
416,31/12/2014,2014,33078.4489,21547.8231,11530.6257,7244.7737,10462.3753,2391.2377,7244.7737,378.1956,143.6653,234.5304,1353.5904,170.3409,46674.711,20422.3082,26252.4029,1480.1084,13264.7625,3549.7785,NA,8685.2003,7087.531,1804.1232,3894.3148,2621.2284,1804.1232,1232.8567,8197.0899,-6305.4439,-2486.7663,NA,NA,NA,NA,2870.7782,1480.1084,13264.7625,EC US EQUITY
417,31/12/2015,2015,19159.6706,13607.0288,5552.6419,535.5156,3025.7348,223.1027,535.5156,650.519,107.955,542.564,1075.2088,141.5966,38744.9835,14248.47,24496.5135,1440.7371,15325.1592,2167.1687,NA,6335.9074,5494.9148,1079.6699,3146.7189,1596.2813,1079.6699,963.2881,3830.4502,-4976.0711,752.8977,NA,NA,NA,NA,-1466.7337,1440.7371,15325.1592,EC US EQUITY
418,31/12/2016,2016,15672.6836,11241.4106,4431.273,2709.8223,5202.6673,1528.609,2709.8223,907.8821,126.7415,781.1406,1239.9385,130.1462,40426.2385,15102.9983,25323.2402,1375.0756,16028.148,2802.8257,NA,8041.1509,5461.1595,1403.9014,3456.1937,1594.2774,NA,1280.3307,4124.4408,-3351.541,-162.1723,NA,NA,NA,NA,513.7645,1375.0756,16028.148,EC US EQUITY
